type,time,total_objects,total_collision_probability,mean_pc,ecob,expected_max_loss,ssr_index,normalized_ssr_index
S,8,3484.410162324417,0.23138063070671455,0.005784515767667864,1.1775194167942769,0,0.2724551853272625,1.3393930830564094
S,9,3467.625336409858,0.22169187410575675,0.0055422968526439185,1.0992633754589782,0,0.243697757841321,1.1980212115139368
S,10,3453.8628117869353,0.2137141393357065,0.0053428534833926625,1.0227204657627431,0,0.21856982412149753,1.0744919765118393
S,11,3442.574172956081,0.2075361238151031,0.005188403095377578,1.0020688064575791,0,0.20796547588823275,1.0223608685760672
S,12,3433.310486475032,0.2024502437050587,0.005061256092626467,0.9999189951670147,0,0.20243384425687955,0.9951672986091346
S,13,3425.704742865685,0.19765703934662449,0.004941425983665612,0.9879612814182,0,0.19527750187421872,0.9599866303615986
S,14,3419.4568430903764,0.19298293693577184,0.004824573423394296,0.9697513236791323,0,0.18714545854095127,0.9200094040936884
S,15,3414.3209352334775,0.1888562127819028,0.0047214053195475695,0.9545249025880332,0,0.18026795810879065,0.8861995263463124
S,16,3410.095269066194,0.18569811491738297,0.0046424528729345745,0.9555072411644352,0,0.17743589347414485,0.872277061344015
S,17,3406.614401448877,0.18338890643112316,0.004584722660778079,0.9693229503658202,0,0.17776307584617762,0.8738854939582532
S,18,3403.743079972495,0.18136734795475173,0.004534183698868793,0.977252554194127,0,0.17724170403619613,0.8713224236494572
S,19,3401.3709822458627,0.17918980447270239,0.00447974511181756,0.9720036561172223,0,0.17417314508639692,0.8562373496495804
S,20,3399.407973561713,0.1768994724675752,0.00442248681168938,0.9609167011060781,0,0.16998565751094785,0.8356516085956739
S,21,3397.7800814911507,0.17485417545613713,0.004371354386403428,0.9546135236889344,0,0.16691816056390624,0.820571755414575
Su,1,3639,0.31065018142271683,0.007766254535567921,1,1867379867.9819808,0.31065018142271683,1
Su,2,2978.8655835355735,0.6208359750492923,0.015520899376232309,1.4546776509841022,1653893697.389156,0.9031162178311293,2.907180719145356
Su,3,2438.214379273763,0.6588255536927498,0.016470638842318745,1.6026103482367304,1359393800.6748688,1.0558406500307944,3.398809056525419
Su,4,2188.720374058927,0.6327716277742678,0.015819290694356693,1.559561547959409,1232194462.2077963,0.986846299316432,3.17671245127516
Su,5,2375.1279362577675,0.6237647156957892,0.015594117892394729,1.4620229194835883,1449952353.2665474,0.9119583107124082,2.9356439018828775
Su,6,2755.9785198245227,0.5992744272416719,0.014981860681041797,1.3680674987450856,1812240038.8028722,0.8198478667384078,2.6391353225150733
Su,7,2983.998092976058,0.5274848333445997,0.013187120833614993,1.2593463000424612,2072419593.629312,0.6642860732010359,2.1383733631145367
Su,8,2917.452810987868,0.4410475864617247,0.011026189661543118,1.1775194167942769,2084774539.7016287,0.5193420967889335,1.6717907403448107
Su,9,2755.1863492327157,0.3732467873065801,0.009331169682664503,1.0992633754589782,1977566210.6928127,0.4102965232938506,1.3207670486937206
Su,10,2756.6545170744457,0.3341197645177403,0.008352994112943508,1.0227204657627431,1971214175.0165434,0.3417111211881214,1.0999868714808134
Su,11,2939.0227345678477,0.3231949543514616,0.00807987385878654,1.0020688064575791,2099335728.5128284,0.32386358216008093,1.0425346628701433
Su,12,3125.526760506964,0.3179658373981644,0.00794914593495411,0.9999189951670147,2261634815.786351,0.31794008062861095,1.0234665860245367
Su,13,3158.228572927063,0.30141239970935674,0.007535309992733918,0.9879612814182,2336281761.481499,0.2977837806521908,0.9585823490860348
Su,14,3055.5059090537125,0.2754347705350224,0.00688586926337556,0.9697513236791323,2297925106.236967,0.26710323331359603,0.8598199817245098
Su,15,2958.4632935716845,0.25762350105384735,0.006440587526346184,0.9545249025880332,2234287271.551188,0.2459080472478117,0.7915915133916908
Su,16,2966.9730897069508,0.2609026271308722,0.006522565678271805,0.9555072411644352,2234051276.142446,0.24929434946237303,0.802492206251591
Su,17,3056.435206642044,0.27543242566466386,0.006885810641616597,0.9693229503658202,2300407518.2442937,0.2669829714716864,0.859432852248651
Su,18,3124.6830083694517,0.28255568520925567,0.007063892130231392,0.977252554194127,2374379198.781037,0.27612826507281685,0.888872054760128
Su,19,3108.5291598605077,0.27465211882977236,0.006866302970744309,0.9720036561172223,2405929781.2975597,0.2669628636628805,0.8593681241074543
Su,20,3040.49440957546,0.2608918668157695,0.006522296670394237,0.9609167011060781,2393294975.8243055,0.2506953520060155,0.8070021104056017
Su,21,2999.267472381918,0.25512331189009885,0.006378082797252471,0.9546135236889344,2380509430.5938554,0.24354416373859827,0.7839820425123005
